  Native SELECT (secs)    External SELECT (secs)    External With HPS SELECT (secs)    External Big Lake SELECT (secs)    External Big Lake With HPS SELECT (secs)    External % Slower    External With HPS % Slower    External Big Lake % Slower    External Big Lake With HPS % Slower
              0.636863                         0                                  0                           1.22925                                     1.22886                  -100                          -100                            93                                     93
              0.638834                         0                                  0                           1.33636                                     1.42951                  -100                          -100                           109                                    124
              0.588362                         0                                  0                           1.22864                                     1.22891                  -100                          -100                           109                                    109
              0.661762                         0                                  0                           1.22921                                     1.53574                  -100                          -100                            86                                    132
              0.613325                         0                                  0                           1.22944                                     1.22813                  -100                          -100                           100                                    100
              0.620622                         0                                  0                           1.22817                                     1.53579                  -100                          -100                            98                                    147
              0.630503                         0                                  0                           1.22914                                     1.22852                  -100                          -100                            95                                     95
              0.639467                         0                                  0                           1.22844                                     1.22894                  -100                          -100                            92                                     92
              0.637921                         0                                  0                           1.22902                                     1.22927                  -100                          -100                            93                                     93
              0.649272                         0                                  0                           1.22859                                     1.53651                  -100                          -100                            89                                    137
              0.628205                         0                                  0                           1.12667                                     1.3313                   -100                          -100                            79                                    112
              0.654326                         0                                  0                           1.22928                                     1.22852                  -100                          -100                            88                                     88
              0.635041                         0                                  0                           1.22839                                     1.2286                   -100                          -100                            93                                     93
              0.948162                         0                                  0                           1.22887                                     0.977052                 -100                          -100                            30                                      3
              0.561368                         0                                  0                           1.22874                                     1.22852                  -100                          -100                           119                                    119
              0.624163                         0                                  0                           1.22867                                     1.22861                  -100                          -100                            97                                     97
              0.638097                         0                                  0                           1.22988                                     1.53594                  -100                          -100                            93                                    141
