  Native SELECT (secs)    External SELECT (secs)    External With HPS SELECT (secs)    External Big Lake SELECT (secs)    External Big Lake With HPS SELECT (secs)    External % Slower    External With HPS % Slower    External Big Lake % Slower    External Big Lake With HPS % Slower
              0.763608                  1.22886                             1.84345                           1.22871                                     0.921569                   61                           141                            61                                     21
              0.689919                  1.22863                             1.63984                           1.12401                                     0.922909                   78                           138                            63                                     34
              0.449264                  1.22929                             1.84331                           1.22862                                     0.69871                   174                           310                           173                                     56
              0.623292                  1.22669                             1.84306                           1.22889                                     0.921151                   97                           196                            97                                     48
              0.406779                  1.22844                             1.60279                           1.19611                                     0.887901                  202                           294                           194                                    118
              0.348914                  1.56423                             1.84285                           1.22942                                     0.729919                  348                           428                           252                                    109
              0.421025                  1.22929                             1.84291                           1.22875                                     1.53611                   192                           338                           192                                    265
              0.410104                  1.22919                             1.66304                           1.40874                                     0.922044                  200                           306                           244                                    125
              0.427037                  1.22905                             1.84349                           1.22877                                     0.921833                  188                           332                           188                                    116
              0.920848                  1.04718                             1.76002                           1.23743                                     0.819668                   14                            91                            34                                    -11
              0.656639                  1.22947                             1.8427                            1.24603                                     0.904112                   87                           181                            90                                     38
              0.437382                  1.53662                             1.8432                            1.84295                                     0.921875                  251                           321                           321                                    111
              0.648117                  1.22929                             2.15034                           1.2288                                      0.921575                   90                           232                            90                                     42
              0.70117                   1.36862                             2.01047                           1.53655                                     0.721635                   95                           187                           119                                      3
              0.379036                  1.06879                             1.74101                           1.33089                                     0.731634                  182                           359                           251                                     93
              0.527574                  1.22414                             1.84567                           1.53303                                     0.792826                  132                           250                           191                                     50
              0.578645                  1.5357                              1.84418                           1.22769                                     0.692899                  165                           219                           112                                     20
              0.625836                  1.2288                              2.15061                           1.22916                                     0.921682                   96                           244                            96                                     47
              0.645741                  1.2288                              1.84322                           1.22842                                     0.922072                   90                           185                            90                                     43
              0.703236                  1.22905                             1.84296                           1.22904                                     0.921425                   75                           162                            75                                     31
              0.605683                  1.22898                             1.84296                           1.53655                                     1.22881                   103                           204                           154                                    103
              0.4156                    1.22885                             1.84345                           1.22845                                     0.921957                  196                           344                           196                                    122
              0.367547                  1.2141                              2.47213                           1.53583                                     0.922299                  230                           573                           318                                    151
              0.5981                    1.22894                             1.81825                           1.25413                                     0.921441                  105                           204                           110                                     54
              0.434305                  2.14126                             1.84385                           1.53657                                     0.779881                  393                           325                           254                                     80
              0.455512                  1.22872                             2.15014                           1.53597                                     0.92209                   170                           372                           237                                    102
              0.396288                  1.24492                             1.84317                           1.53653                                     0.921409                  214                           365                           288                                    133
              0.735887                  1.22936                             1.84303                           1.22892                                     0.921315                   67                           150                            67                                     25
              0.384943                  1.22983                             1.84229                           1.53582                                     0.921953                  219                           379                           299                                    140
              0.671927                  1.22853                             1.84321                           1.53644                                     0.9217                     83                           174                           129                                     37
              0.416888                  1.11843                             1.9538                            1.22912                                     0.921712                  168                           369                           195                                    121
              0.689079                  1.53645                             1.84326                           1.53606                                     0.922178                  123                           167                           123                                     34
              0.3438                    1.26252                             1.84315                           1.53553                                     0.706357                  267                           436                           347                                    105
              0.54689                   1.22874                             1.84355                           1.53565                                     0.922399                  125                           237                           181                                     69
              0.399854                  1.22832                             1.84298                           1.53597                                     0.921768                  207                           361                           284                                    131
              0.376097                  1.22913                             1.8433                            1.22873                                     0.921644                  227                           390                           227                                    145
              0.681184                  1.53627                             2.15058                           1.22866                                     0.819239                  126                           216                            80                                     20
              0.499578                  1.22888                             1.8431                            1.53574                                     0.921821                  146                           269                           207                                     85
              0.553139                  1.22775                             1.84381                           1.05092                                     0.792578                  122                           233                            90                                     43
              0.450139                  1.2285                              1.84371                           1.33055                                     0.749762                  173                           310                           196                                     67
              0.404688                  1.27271                             1.8431                            1.23012                                     0.707257                  214                           355                           204                                     75
              0.648979                  1.12684                             1.77029                           1.09691                                     0.921779                   74                           173                            69                                     42
              0.387274                  1.33866                             1.73366                           1.53611                                     0.921145                  246                           348                           297                                    138
              0.631246                  1.17198                             1.89999                           1.53602                                     0.921428                   86                           201                           143                                     46
              0.39782                   1.12997                             1.94213                           1.09367                                     0.749511                  184                           388                           175                                     88
              0.396549                  1.22912                             1.84307                           1.22981                                     0.920248                  210                           365                           210                                    132
              0.40851                   1.22955                             1.84328                           1.22837                                     0.922009                  201                           351                           201                                    126
              0.407612                  1.2284                              1.84324                           1.22919                                     0.92073                   201                           352                           202                                    126
              0.42349                   1.22857                             1.84323                           1.53616                                     0.921442                  190                           335                           263                                    118
              0.400605                  1.22882                             1.57371                           1.19285                                     0.919972                  207                           293                           198                                    130
              0.419157                  1.22797                             1.84363                           1.53616                                     0.921556                  193                           340                           266                                    120
              0.422798                  1.22955                             1.84278                           1.22899                                     0.766032                  191                           336                           191                                     81
              0.413702                  1.22885                             2.15067                           1.84325                                     0.914257                  197                           420                           346                                    121
              0.689444                  1.22979                             1.84231                           1.1893                                      0.766156                   78                           167                            73                                     11
              0.4677                    1.10931                             1.7856                            1.22889                                     0.92188                   137                           282                           163                                     97
              0.639163                  0.993752                            2.06925                           1.23738                                     0.922324                   55                           224                            94                                     44
              0.497741                  1.53654                             1.84334                           1.22879                                     0.921552                  209                           270                           147                                     85
              0.706567                  1.22802                             1.84381                           1.22852                                     0.899152                   74                           161                            74                                     27
              0.396276                  1.22875                             1.84343                           1.22996                                     0.920601                  210                           365                           210                                    132
              0.40955                   1.22926                             1.84313                           1.53602                                     0.921845                  200                           350                           275                                    125
              0.658562                  1.53524                             1.84384                           1.53624                                     0.921116                  133                           180                           133                                     40
              0.418101                  1.23835                             1.86428                           1.51554                                     0.921123                  196                           346                           262                                    120
              0.406345                  1.22355                             1.84227                           1.22974                                     0.921863                  201                           353                           203                                    127
              0.52589                   1.22919                             1.843                             1.74773                                     0.690762                  134                           250                           232                                     31
              0.359739                  1.25076                             1.60433                           1.40524                                     0.775478                  248                           346                           291                                    116
              0.394913                  0.938479                            1.64615                           1.18743                                     0.654204                  138                           317                           201                                     66
              0.380018                  0.989123                            1.77825                           1.05263                                     0.673069                  160                           368                           177                                     77
              0.363517                  1.0786                              2.43719                           1.66533                                     0.921504                  197                           570                           358                                    153
              0.427674                  1.42423                             1.8434                            1.22838                                     0.921822                  233                           331                           187                                    116
              0.658464                  1.22835                             1.84389                           1.09765                                     0.707703                   87                           180                            67                                      7
              0.627905                  1.10497                             1.96677                           1.22889                                     0.74727                    76                           213                            96                                     19
              0.499213                  1.01091                             1.76284                           1.22843                                     0.921674                  103                           253                           146                                     85
              0.641379                  0.987643                            1.81282                           1.44515                                     0.976796                   54                           183                           125                                     52
              0.705473                  1.22881                             1.74094                           1.33132                                     0.857801                   74                           147                            89                                     22
              0.413055                  1.08411                             1.98665                           1.19129                                     1.01038                   162                           381                           188                                    145
              0.4959                    1.10163                             1.64023                           1.12469                                     0.685741                  122                           231                           127                                     38
              0.667912                  1.22821                             1.80968                           1.26265                                     0.920982                   84                           171                            89                                     38
              0.42781                   1.16025                             1.91233                           1.06296                                     1.08729                   171                           347                           148                                    154
              0.491846                  1.10561                             1.96671                           1.22878                                     0.921451                  125                           300                           150                                     87
              0.740194                  1.22872                             1.84407                           1.53458                                     0.887006                   66                           149                           107                                     20
