  Native SELECT (secs)    External SELECT (secs)    External With HPS SELECT (secs)    External Big Lake SELECT (secs)    External Big Lake With HPS SELECT (secs)    External % Slower    External With HPS % Slower    External Big Lake % Slower    External Big Lake With HPS % Slower
              0.419647                  1.22838                             1.84439                           1.2294                                       1.84211                  193                           340                           193                                    339
              0.430016                  1.22888                             1.66256                           1.10271                                      1.84304                  186                           287                           156                                    329
              0.459923                  1.07668                             1.68863                           0.94673                                      1.63298                  134                           267                           106                                    255
              0.33009                   1.22876                             1.84317                           1.2289                                       1.84332                  272                           458                           272                                    458
              0.440461                  1.22873                             1.84323                           1.22884                                      1.84338                  179                           318                           179                                    319
              0.44554                   1.2287                              1.84337                           1.03899                                      1.49385                  176                           314                           133                                    235
              0.360601                  0.977875                            1.71861                           1.1016                                       1.6633                   171                           377                           205                                    361
              0.422133                  1.22887                             1.84464                           1.22744                                      1.84427                  191                           337                           191                                    337
              0.454871                  1.22922                             1.84309                           1.22825                                      1.84358                  170                           305                           170                                    305
              0.477451                  0.930171                            1.61882                           1.02468                                      1.64428                   95                           239                           115                                    244
              0.414523                  1.2292                              1.84309                           1.22904                                      1.84294                  197                           345                           196                                    345
              0.439981                  1.22964                             1.56337                           0.978395                                     1.71737                  179                           255                           122                                    290
              0.471476                  1.22879                             1.7818                            0.982724                                     1.84336                  161                           278                           108                                    291
              0.314346                  1.2354                              1.81054                           1.2615                                       1.84359                  293                           476                           301                                    486
              0.370246                  1.00111                             1.66782                           1.03181                                      1.84931                  170                           350                           179                                    399
              0.569147                  1.22902                             1.66883                           0.996006                                     1.67884                  116                           193                            75                                    195
              0.404017                  1.22902                             1.63101                           1.07484                                      1.93722                  204                           304                           166                                    379
              0.417046                  0.921978                            1.73934                           1.02512                                      1.61927                  121                           317                           146                                    288
              0.377263                  1.22811                             1.84406                           1.03805                                      1.50319                  226                           389                           175                                    298
              0.320166                  1.03398                             1.6937                            0.999474                                     1.84388                  223                           429                           212                                    476
              0.462547                  1.22925                             1.84364                           0.97244                                      1.62474                  166                           299                           110                                    251
              0.370244                  0.991195                            1.53598                           1.22858                                      1.53438                  168                           315                           232                                    314
              0.279249                  0.988473                            1.6337                            0.998138                                     1.76371                  254                           485                           257                                    532
              0.44601                   1.22771                             1.67407                           1.08879                                      1.67342                  175                           275                           144                                    275
              0.325024                  0.924515                            1.77684                           1.29364                                      1.8427                   184                           447                           298                                    467
              0.340348                  1.11607                             1.68151                           0.966508                                     1.54572                  228                           394                           184                                    354
              0.356499                  1.25627                             1.8425                            1.22928                                      1.57007                  252                           417                           245                                    340
              0.310454                  0.934231                            1.62786                           0.958004                                     1.80621                  201                           424                           209                                    482
              0.470315                  0.933856                            1.58251                           1.0572                                       1.50089                   99                           236                           125                                    219
              0.322893                  1.44423                             1.93225                           1.22885                                      1.84332                  347                           498                           281                                    471
              0.400055                  0.884553                            1.88065                           1.22889                                      1.84341                  121                           370                           207                                    361
              0.444312                  0.943069                            1.5813                            0.991709                                     1.64427                  112                           256                           123                                    270
              0.489716                  1.22884                             1.53611                           1.06659                                      1.5134                   151                           214                           118                                    209
              0.299119                  0.928992                            1.88392                           1.12003                                      1.6289                   211                           530                           274                                    445
              0.462974                  0.921437                            1.61253                           1.09115                                      1.83788                   99                           248                           136                                    297
              0.309484                  1.11472                             1.84266                           1.22963                                      1.84302                  260                           495                           297                                    496
              0.435166                  1.22949                             1.70297                           1.06252                                      2.11264                  183                           291                           144                                    385
              0.308429                  0.947863                            1.55419                           0.911455                                     1.59051                  207                           404                           196                                    416
              0.364507                  0.86209                             1.56559                           0.931875                                     1.68368                  137                           330                           156                                    362
              0.308435                  1.05837                             1.76944                           1.02025                                      1.9884                   243                           474                           231                                    545
              0.389296                  1.15907                             1.6739                            1.08655                                      1.62948                  198                           330                           179                                    319
              0.490366                  0.922159                            1.6002                            0.985384                                     1.71423                   88                           226                           101                                    250
              0.397577                  1.4367                              1.50979                           0.966467                                     1.6751                   261                           280                           143                                    321
              0.384348                  1.02389                             1.74115                           1.12606                                      1.63851                  166                           353                           193                                    326
              0.29218                   1.1486                              1.55294                           1.10931                                      1.74105                  293                           432                           280                                    496
              0.324359                  1.13291                             1.63875                           1.02398                                      1.65089                  249                           405                           216                                    409
